Date,Price,Open,High,Low,Vol.,Change %,SMA_7,SMA_30,RSI_14,Vol_30
2018-02-03,9241.1,8894.4,9506.9,8249.3,248710.0,3.91,10112.385714285714,12396.31,24.310506433331398,6.33631207325321
2018-02-04,8222.2,9241.5,9382.1,7932.1,280940.0,-11.03,9601.971428571429,12105.223333333333,25.187234230338177,6.064696645529608
2018-02-05,6938.5,8220.8,8383.2,6651.9,593890.0,-15.61,8986.785714285714,11764.096666666668,23.290112790605846,6.499073532558963
2018-02-06,7701.2,6939.3,7896.2,5996.6,886880.0,10.99,8634.671428571428,11479.863333333333,30.171410170614735,6.941717010759693
2018-02-07,7594.7,7693.8,8536.5,7196.6,445620.0,-1.38,8253.142857142857,11233.813333333332,24.726138686468616,6.8646018210030775
2018-02-08,8164.2,7595.1,8489.9,7595.1,296100.0,7.5,8107.871428571429,11013.336666666666,30.89237656877279,7.080245141544679
2018-02-09,8699.8,8163.6,8735.6,7784.6,233940.0,6.56,8080.242857142856,10801.896666666666,35.60963998803943,7.213777375480042
2018-02-10,8559.6,8697.3,9066.6,8172.2,263530.0,-1.61,7982.885714285715,10636.036666666669,32.254402987752,7.034360953419132
2018-02-11,8081.9,8559.7,8564.2,7843.7,236200.0,-5.58,7962.842857142857,10442.543333333333,27.7476808015451,7.0378219593162274
2018-02-12,8903.5,8083.6,8984.9,8083.6,238670.0,10.17,8243.557142857142,10262.92,36.41101837550818,7.315259480316952
2018-02-13,8539.2,8906.2,8942.7,8378.0,195870.0,-4.09,8363.271428571428,10091.053333333333,39.7040581250404,7.3140553086144
2018-02-14,9476.3,8542.6,9500.0,8541.6,246880.0,10.97,8632.07142857143,9950.346666666666,45.4846130076292,7.6475786040907305
2018-02-15,10037.3,9475.6,10206.8,9348.5,291280.0,5.92,8899.657142857142,9906.189999999999,55.211452779103915,7.108941302105455
2018-02-16,10178.7,10031.3,10294.3,9707.7,206440.0,1.41,9110.92857142857,9872.403333333332,57.96655966078612,7.110014986161947
2018-02-17,11073.5,10177.3,11095.9,10070.9,224760.0,8.79,9470.057142857142,9866.673333333334,60.63493905968092,7.291668336288752
2018-02-18,10398.8,11073.7,11271.6,10137.2,288910.0,-6.09,9801.042857142858,9827.293333333333,63.15834018463942,7.360536032766524
2018-02-19,11169.4,10396.6,11250.5,10324.8,215200.0,7.41,10124.742857142857,9770.976666666666,77.26903592545706,7.19927994483734
2018-02-20,11238.7,11169.7,11791.5,11119.9,267560.0,0.62,10510.385714285714,9759.103333333334,75.03786645512642,6.967034041350201
2018-02-21,10473.0,11240.9,11289.7,10252.2,327140.0,-6.81,10652.771428571428,9746.043333333333,68.63339159694945,6.983877459392833
2018-02-22,9841.7,10470.1,10930.2,9743.9,316630.0,-6.03,10624.828571428572,9710.660000000002,60.77350904899609,7.07311701923666
2018-02-23,10170.4,9840.6,10419.1,9597.8,271500.0,3.34,10623.642857142857,9667.929999999998,59.70257574147105,7.037275334810357
2018-02-24,9704.3,10163.8,10506.1,9394.5,239160.0,-4.58,10428.042857142858,9617.973333333332,57.24099540746158,7.074666995940337
2018-02-25,9585.2,9703.1,9860.3,9330.1,196490.0,-1.23,10311.814285714285,9566.876666666667,59.961302463543554,7.076396746900179
